latitude,longitude,acq_date,brightness,frp,confidence
-16.5416,142.7755,2019-12-15,359.2,144.9,93
-21.2614,140.8189,2019-12-28,343.7,70.3,74
-16.4595,136.3436,2019-09-03,346.0,52.1,90
-11.8556,133.2593,2019-10-16,340.1,27.3,83
-31.1404,151.9413,2019-11-16,371.9,152.1,94
-15.408,144.1044,2019-11-29,317.1,38.6,39
-36.8981,149.6621,2020-02-04,321.0,18.5,76
-31.3086,152.173,2019-11-12,309.3,23.0,30
-27.3231,152.7122,2019-12-21,315.4,18.1,90
-16.9894,138.3109,2019-12-15,356.6,50.2,97
-26.0798,151.8806,2019-07-21,320.1,22.3,75
-30.3739,151.3375,2019-12-20,315.4,13.6,91
-33.9162,150.0706,2019-12-09,325.9,16.5,49
-16.5946,137.9406,2019-12-27,333.8,42.0,72
-35.5463,150.2743,2019-12-02,349.5,64.3,100
-33.5687,150.4302,2019-12-18,333.2,92.2,80
-36.7499,146.6896,2020-01-12,314.3,34.4,89
-35.3224,150.2949,2019-12-19,342.6,39.4,78
-34.4719,146.0918,2020-03-25,321.0,37.4,68
-23.6546,128.497,2019-12-28,334.8,25.1,69
-31.3716,152.289,2019-11-14,309.8,19.4,78
-18.2104,143.6952,2019-12-19,340.9,17.5,75
-11.8599,142.5195,2019-10-18,332.1,31.7,63
-26.356,150.6982,2019-09-05,327.4,34.4,37
-13.9445,132.1584,2019-06-01,346.3,48.7,93
-14.9927,127.2246,2019-11-07,339.0,91.0,82
-12.9325,141.7819,2019-08-20,325.0,97.7,100
-29.7208,152.0814,2019-09-16,359.7,83.9,99
-13.3838,130.204,2019-06-15,306.9,6.5,70
-33.2878,150.3084,2019-12-04,351.1,133.5,95
-13.9254,129.8347,2019-06-20,336.3,50.4,86
-13.8495,132.9578,2019-10-04,311.6,43.2,82
-12.3071,142.0728,2019-09-03,328.3,21.9,74
-32.485,123.237,2020-01-02,408.0,311.8,75
-12.3665,131.5595,2019-12-01,331.9,16.9,58
-13.1336,133.8763,2019-07-20,329.5,24.6,78
-33.822,150.4509,2020-02-01,342.9,79.8,100
-15.648,130.7765,2019-12-03,325.8,20.0,100
-27.5232,148.9334,2020-03-22,326.1,21.5,74
-36.9631,147.3329,2020-01-02,328.2,23.3,79
-11.652,130.7896,2019-09-13,336.6,22.7,67
-27.8461,127.9798,2019-12-26,348.0,112.1,90
-12.8014,134.573,2019-12-06,373.4,104.6,100
-15.8585,143.7825,2019-11-10,358.9,71.3,99
-28.7317,128.5596,2019-12-28,314.9,109.6,69
-37.3442,149.0493,2020-01-14,326.7,30.8,79
-24.0821,145.6748,2020-03-14,331.1,26.5,79
-13.046,142.8559,2019-07-28,326.5,15.8,67
-35.9203,149.5504,2020-02-01,341.0,205.4,100
-31.6101,151.0848,2019-08-05,303.9,21.2,45
-11.8289,133.212,2019-07-06,341.7,36.3,89
-26.8104,115.5023,2020-01-15,331.4,15.5,51
-13.2235,132.2827,2019-10-05,332.0,26.1,55
-13.3145,134.4198,2019-10-21,342.2,30.4,55
-30.8207,123.5111,2019-12-27,348.9,313.6,91
-32.6893,122.3302,2020-01-08,410.5,1799.1,100
-29.3305,151.6125,2019-11-12,398.9,227.4,100
-30.6912,152.1887,2019-11-09,328.2,25.5,100
-14.6068,133.3229,2019-07-01,301.8,5.8,45
-33.0638,123.5317,2019-12-14,369.3,141.8,100
-28.0122,127.9932,2019-12-19,364.5,155.2,100
-18.5296,142.6287,2020-01-02,346.8,38.5,89
-19.2661,145.6631,2020-02-05,339.1,36.7,64
-37.499,147.9447,2019-12-06,308.2,15.2,56
-36.8643,149.4467,2020-01-31,353.8,90.9,100
-13.93,130.3822,2019-07-14,326.3,71.2,81
-37.5167,148.6214,2020-01-02,315.2,61.6,50
-21.6754,119.0613,2019-10-11,335.2,36.8,70
-31.2591,152.7963,2019-10-29,311.4,22.9,82
-25.085,147.5831,2019-12-31,331.4,42.9,31
-12.3023,133.4203,2019-07-24,327.3,26.6,54
-30.1658,152.4931,2019-09-09,341.1,45.2,80
-29.9598,152.8555,2019-08-09,336.9,46.9,89
-33.1576,150.069,2020-01-03,320.4,14.7,100
-28.4677,129.7187,2019-10-04,405.7,280.8,100
-14.1765,126.5053,2019-09-22,324.4,14.7,39
-17.8322,143.2619,2019-12-25,333.7,125.4,79
-33.1918,150.1684,2019-12-28,312.6,12.2,62
-37.203,148.3246,2019-12-30,366.9,114.6,100
-29.2443,152.9932,2019-11-20,430.8,3355.4,100
-14.0319,133.2363,2019-06-06,318.3,22.3,72
-35.8954,148.263,2020-01-04,330.3,8.5,42
-15.2713,141.912,2019-08-24,322.5,12.2,42
-27.9073,128.0995,2019-12-17,341.2,177.6,77
-29.9645,152.4366,2019-11-08,328.8,126.8,68
-32.7769,119.8395,2020-02-07,365.1,208.0,73
-35.4926,148.9293,2020-02-04,335.7,52.1,55
-15.7442,144.489,2019-10-14,330.6,17.2,48
-15.6863,143.9258,2019-11-09,325.8,11.4,38
-13.9585,134.929,2019-07-22,322.4,8.0,48
-34.2406,144.2395,2019-08-14,303.3,5.2,56
-12.8064,131.4852,2019-06-06,318.5,20.7,69
-28.4362,129.1986,2019-12-29,341.1,75.3,36
-37.4493,147.7636,2019-12-20,371.4,369.8,100
-32.9433,150.517,2019-11-19,305.4,19.2,34
-33.1871,116.3526,2019-12-17,332.8,22.9,44
-15.5303,143.9443,2019-11-12,331.6,30.3,77
-23.9072,127.7826,2019-12-26,346.1,32.4,88
-16.042,125.7434,2019-06-01,302.4,9.5,49
-28.7408,152.3424,2019-12-04,380.1,154.7,100
-16.3616,136.7686,2019-08-20,370.6,141.0,100
-37.2277,148.1805,2020-01-01,312.0,12.7,84
-13.7778,129.9581,2019-06-01,315.7,13.0,50
-25.7951,130.0096,2019-12-22,346.8,57.3,89
-31.4732,115.6079,2019-12-12,437.2,570.0,100
-14.0916,130.9904,2019-10-20,366.9,222.3,100
-26.5645,121.2343,2019-11-30,335.2,56.5,78
-32.0556,121.537,2019-12-21,349.3,57.7,73
-16.7959,137.3386,2019-12-05,311.9,8.7,60
-15.7428,127.0366,2019-12-18,337.5,46.4,75
-33.1398,150.3909,2019-11-07,326.3,19.6,49
-31.4286,151.9038,2019-12-07,337.3,26.0,64
-17.815,125.4365,2019-12-11,363.6,111.1,100
-29.5366,150.2282,2019-06-12,314.8,9.0,68
-26.3626,149.7381,2020-02-17,316.6,6.4,52
-19.5491,146.5294,2019-12-09,324.6,12.7,51
-14.1061,130.4454,2019-07-18,329.0,16.4,73
-26.2925,146.553,2019-11-14,304.3,7.1,60
-14.4446,127.7599,2020-03-29,325.5,11.1,64
-13.2792,132.2676,2019-06-25,327.7,20.2,70
-25.8085,152.026,2019-12-04,326.1,21.7,95
-12.9399,130.167,2019-08-14,335.6,27.9,81
-27.9714,148.7579,2019-08-21,310.9,12.1,54
-19.1591,141.9486,2019-12-21,319.4,15.6,98
-35.6539,148.8872,2020-01-31,323.9,23.4,100
-27.9668,127.3009,2019-12-25,358.5,74.9,99
-16.5551,137.8824,2019-12-25,333.0,27.5,47
-15.3115,127.3487,2019-11-20,351.5,34.8,93
-29.9219,152.3906,2019-11-07,367.1,107.5,100
-29.9309,152.543,2019-11-07,343.0,42.0,86
-14.741,127.3572,2019-11-16,331.2,24.3,51
-29.8097,152.1645,2019-09-13,315.6,16.7,46
-30.6094,152.1979,2019-11-19,315.4,17.8,43
-30.0925,152.6755,2019-11-08,336.7,39.1,100
-35.1561,150.1715,2019-12-21,340.5,22.6,87
-13.0752,131.071,2019-06-24,323.6,13.9,76
-32.0526,152.4972,2019-11-10,325.8,17.7,73
-38.0544,141.8644,2020-01-02,319.8,22.4,33
-35.6366,148.1777,2019-12-31,307.6,65.0,31
-22.1035,116.3978,2019-10-23,327.4,154.0,100
-31.555,151.8118,2019-11-19,411.4,326.1,100
-14.1091,133.3721,2019-10-10,348.2,37.2,90
-28.5655,126.5434,2019-10-23,345.0,38.3,86
-17.0184,142.4723,2019-06-21,301.0,5.0,36
-15.5168,143.3094,2019-07-26,322.5,13.1,56
-37.4281,149.2879,2020-01-14,314.8,35.9,35
-26.5438,150.7509,2019-11-13,302.3,15.1,48
-15.5267,141.536,2019-07-14,343.0,80.7,90
-36.7212,146.7225,2020-01-16,345.1,64.8,87
-26.8404,130.4933,2019-10-28,354.6,260.1,96
-30.8593,152.1362,2019-09-27,333.2,28.3,64
-32.8106,150.6264,2019-12-14,343.9,44.5,90
-35.6251,149.8837,2020-01-01,326.6,46.4,55
-28.8955,129.1065,2019-10-24,373.0,210.0,100
-30.1687,152.262,2019-09-04,330.9,41.4,85
-27.9511,151.0478,2019-12-04,308.9,9.4,55
-29.6426,152.3099,2019-11-09,364.5,100.7,100
